what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1429763929065
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1429763929065
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1429763929084
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1429763929100
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1429763929117
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1429763929131
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1429763929158
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1429763929214
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1429763929257
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1429763929305
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1429763929330
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1429763929377
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1429763929387
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1429763929449
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1429763929449
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1429763929450
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1429763929460
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1429763929463
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1429763929463
os,sysinfo,,,"macosx",1429763929466
arch,sysinfo,,,"x86_64",1429763929466
ws,sysinfo,,,"cocoa",1429763929466
locale,sysinfo,,,"en_US",1429763929466
processors,sysinfo,,,"4",1429763929466
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1429763929466
java.runtime.version,sysinfo,,,"1.6.0_65-b14-466.1-11M4716",1429763929466
java.specification.name,sysinfo,,,"Java Platform API Specification",1429763929466
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1429763929466
java.specification.version,sysinfo,,,"1.6",1429763929466
java.vendor,sysinfo,,,"Apple Inc.",1429763929466
java.version,sysinfo,,,"1.6.0_65",1429763929466
java.vm.info,sysinfo,,,"mixed mode",1429763929466
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1429763929466
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1429763929466
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1429763929466
java.vm.specification.version,sysinfo,,,"1.0",1429763929466
java.vm.vendor,sysinfo,,,"Apple Inc.",1429763929466
java.vm.version,sysinfo,,,"20.65-b04-466.1",1429763929466
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1429763929526
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1429763929531
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1429763929668
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1429763929987
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1429763930076
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1429763930178
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1429763930423
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1429763930680
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1429763931541
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1429763931552
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1429763931767
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429763949191
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429763951005
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429763958316
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429763960290
activated,view,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1429763965204
